learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
100.0,6.86989E-4,4.486421557640036E-10,100.0,13.415832669427987,87.2335239297325,100.0,2524368.0,1.0
200.0,0.065692951,4.3358587943526605E-8,200.0,12.964412509760225,62.52441893471825,200.0,2551568.0,1.0
300.0,0.128410849,8.52086105044807E-8,300.0,19.381864531879014,54.36742326556636,300.0,2579328.0,1.0
400.0,0.188575116,1.2406990219896866E-7,400.0,16.767789440998598,47.40143180441703,400.0,2496784.0,2.0
500.0,0.24443263,1.6057375555453614E-7,500.0,20.866418436478043,47.705289182361156,500.0,2526152.0,2.0
600.0,0.287193252,1.888360040230842E-7,600.0,43.06527801571873,77.87359400529468,600.0,2554848.0,2.0
700.0,0.331702481,2.1858495334121707E-7,700.0,42.815569857529006,74.20967724923446,700.0,2583592.0,2.0
800.0,0.374528446,2.4688631256617813E-7,800.0,42.6110019790684,73.63456754284087,800.0,2554480.0,3.0
900.0,0.417297729,2.7483474429917626E-7,900.0,42.02096325838998,70.58001643352382,900.0,2515968.0,4.0
1000.0,0.463475375,3.052102739421216E-7,1000.0,40.51400266691066,67.5221601237229,1000.0,2542696.0,4.0
1100.0,0.506163794,3.3360909482457363E-7,1000.0,41.85036048832902,62.36138243131343,1100.0,2571536.0,4.0
1200.0,0.548641363,3.621782384745404E-7,1000.0,48.67138106900288,70.18426296216643,1200.0,2599328.0,4.0
1300.0,0.59373512,3.9284320664962133E-7,1000.0,48.70432995947352,70.26480076192384,1300.0,2628624.0,4.0
1400.0,0.636377253,4.2215385930125704E-7,1000.0,54.04827827416098,74.99462236088765,1400.0,2656984.0,4.0
1500.0,0.679050467,4.5178624109423614E-7,1000.0,54.96084391559234,76.92653766951788,1500.0,2684192.0,4.0
1600.0,0.724207726,4.83476819907404E-7,1000.0,40.19953222867137,58.53456115261694,1600.0,2712720.0,4.0
1700.0,0.767258258,6.545331271874263E-7,1000.0,39.683762887347065,57.918963455187985,1700.0,2745256.0,4.0
1800.0,0.896158241,7.47021161518188E-7,1000.0,43.87257818727602,63.48656215371982,1800.0,2773544.0,4.0
1900.0,0.940555455,7.785593080547866E-7,1000.0,45.02135005302908,64.89792583807505,1900.0,2745888.0,5.0
2000.0,0.985537612,8.108793066880003E-7,1000.0,48.53936226012196,68.55132606672541,2000.0,2777368.0,5.0
2100.0,1.03677339,8.480627545014831E-7,1000.0,51.43501064004975,71.95305327444908,2100.0,2805296.0,5.0
2200.0,1.086483993,8.845074433521244E-7,1000.0,44.426116736863435,64.29339803808368,2200.0,2833920.0,5.0
